Data,1ª_Dose,2ª_Dose,3ª_Dose,Dose_Única
2021-04-15,89094,124016,0,0
2021-04-16,65784,234332,0,0
2021-04-17,35629,82778,0,0
2021-04-18,14500,17685,0,0
2021-04-19,70555,138410,0,0
2021-04-20,120070,148345,0,0
2021-04-21,208959,56130,0,0
2021-04-22,140499,132883,0,0
2021-04-23,185320,149483,0,0
2021-04-24,64583,64117,0,1
2021-04-25,12182,9383,0,0
2021-04-26,114490,120683,0,0
2021-04-27,95322,110930,0,1
2021-04-28,104248,116411,0,0
2021-04-29,154934,81707,0,0
2021-04-30,108769,78048,0,0
2021-05-01,28474,35863,0,0
2021-05-02,8436,3736,0,0
2021-05-03,80914,112221,0,0
2021-05-04,126799,93724,0,0
2021-05-05,156282,80910,0,0
2021-05-06,260894,46655,0,0
2021-05-07,252257,71613,0,0
2021-05-08,127785,37974,0,0
2021-05-09,11472,2918,0,0
2021-05-10,107362,66061,0,0
2021-05-11,117147,57509,0,0
2021-05-12,182419,40035,0,0
2021-05-13,151795,29349,0,0
2021-05-14,201065,27066,0,0
2021-05-15,121693,19279,0,0
2021-05-16,81969,3314,0,0
2021-05-17,74380,18435,0,0
2021-05-18,212179,65192,0,1
2021-05-19,147202,42007,0,0
2021-05-20,137113,33822,0,0
2021-05-21,196214,52011,0,0
2021-05-22,91793,38902,0,1
2021-05-23,17642,6250,0,0
2021-05-24,146567,84938,0,0
2021-05-25,147398,72976,0,1
2021-05-26,137092,60171,0,0
2021-05-27,134145,52173,0,0
2021-05-28,199158,44518,0,1
2021-05-29,113514,22393,0,0
2021-05-30,14364,2422,0,0
2021-05-31,151861,39602,0,0
2021-06-01,150178,56051,0,1
2021-06-02,214461,39969,0,1
2021-06-03,113335,22779,0,0
2021-06-04,131888,22359,0,0
2021-06-05,91440,26549,0,0
2021-06-06,10544,1002,0,0
2021-06-07,169464,23392,0,0
2021-06-08,168005,16503,0,0
2021-06-09,177093,14212,0,1
2021-06-10,190351,13036,0,0
2021-06-11,247296,10724,0,0
2021-06-12,154560,3629,0,0
2021-06-13,16790,693,0,0
2021-06-14,252242,10733,0,1
2021-06-15,283483,10914,0,0
2021-06-16,403958,9308,0,1
2021-06-17,468643,11401,0,0
2021-06-18,434277,10650,0,0
2021-06-19,405956,7001,0,0
2021-06-20,42860,859,0,0
2021-06-21,337696,8831,0,1
2021-06-22,331124,9611,0,0
2021-06-23,422798,11983,0,0
2021-06-24,409987,9137,0,1
2021-06-25,408128,9036,0,1
2021-06-26,300986,6502,0,34
2021-06-27,35083,568,0,0
2021-06-28,287742,12863,0,101509
2021-06-29,382305,11529,0,49592
2021-06-30,390701,11089,0,37748
2021-07-01,332184,11955,0,33468
2021-07-02,311731,18607,0,20394
2021-07-03,155726,12128,0,10647
2021-07-04,17886,1301,0,615
2021-07-05,323289,36626,0,13268
2021-07-06,267231,43780,0,66419
2021-07-07,264381,49694,0,158166
2021-07-08,301012,45972,0,120688
2021-07-09,245760,24971,0,87574
2021-07-10,74521,20399,0,36718
2021-07-11,13320,3255,0,3279
2021-07-12,274230,67075,0,56285
2021-07-13,210690,73474,0,54512
2021-07-14,196760,161789,0,44498
2021-07-15,312691,144836,0,36536
2021-07-16,338594,192020,0,32088
2021-07-17,312846,103369,0,38536
2021-07-18,42203,6080,0,2258
2021-07-19,383095,125472,0,12228
2021-07-20,380243,123079,0,11645
2021-07-21,380000,230579,0,8027
2021-07-22,357901,244801,0,8093
2021-07-23,375986,186799,0,7666
2021-07-24,195633,86456,0,5182
2021-07-25,24572,23785,0,1105
2021-07-26,282453,152896,0,6330
2021-07-27,312798,194127,0,4941
