Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
Campinas,3509502,38,quarta-feira ,2020-08-19
Itatiba,3523404,38,quarta-feira ,2020-08-19
Cajamar,3509205,35,quarta-feira ,2020-08-19
Bertioga,3506359,46,quarta-feira ,2020-08-19
Embu-Guaçu,3515103,45,quarta-feira ,2020-08-19
Franca,3516200,35,quarta-feira ,2020-08-19
São Bernardo Do Campo,3548708,44,quarta-feira ,2020-08-19
Jandira,3525003,35,quarta-feira ,2020-08-19
Itapevi,3522505,40,quarta-feira ,2020-08-19
Pindamonhangaba,3538006,42,quarta-feira ,2020-08-19
São Vicente,3551009,42,quarta-feira ,2020-08-19
Franco Da Rocha,3516408,41,quarta-feira ,2020-08-19
Campos Do Jordão,3509700,43,quarta-feira ,2020-08-19
Caçapava,3508504,43,quarta-feira ,2020-08-19
Francisco Morato,3516309,42,quarta-feira ,2020-08-19
Mogi Guaçu,3530706,41,quarta-feira ,2020-08-19
Mogi Das Cruzes,3530607,42,quarta-feira ,2020-08-19
Piracicaba,3538709,37,quarta-feira ,2020-08-19
Votorantim,3557006,40,quarta-feira ,2020-08-19
Guarulhos,3518800,38,quarta-feira ,2020-08-19
Penápolis,3537305,50,quarta-feira ,2020-08-19
Mongaguá,3531100,45,quarta-feira ,2020-08-19
São Paulo,3550308,43,quarta-feira ,2020-08-19
Guarulhos,3518800,38,quinta-feira ,2020-08-20
Mongaguá,3531100,46,quinta-feira ,2020-08-20
Mirassol,3530300,46,quinta-feira ,2020-08-20
Santa Bárbara D'Oeste,3545803,37,quinta-feira ,2020-08-20
Francisco Morato,3516309,44,quinta-feira ,2020-08-20
Penápolis,3537305,44,quinta-feira ,2020-08-20
Tatuí,3554003,41,quinta-feira ,2020-08-20
Araçatuba,3502804,36,quinta-feira ,2020-08-20
Lins,3527108,42,quinta-feira ,2020-08-20
Estado De São Paulo,35,43,quinta-feira ,2020-08-20
São Caetano Do Sul,3548807,41,quinta-feira ,2020-08-20
Suzano,3552502,40,quinta-feira ,2020-08-20
São Sebastião,3550704,55,quinta-feira ,2020-08-20
Itatiba,3523404,37,quinta-feira ,2020-08-20
Guarujá,3518701,43,quinta-feira ,2020-08-20
São João Da Boa Vista,3549102,46,quinta-feira ,2020-08-20
Birigui,3506508,40,quinta-feira ,2020-08-20
Ribeirão Pires,3543303,42,quinta-feira ,2020-08-20
Salto,3545209,37,quinta-feira ,2020-08-20
Jandira,3525003,35,quinta-feira ,2020-08-20
Americana,3501608,35,quinta-feira ,2020-08-20
São Bernardo Do Campo,3548708,47,quinta-feira ,2020-08-20
Cajamar,3509205,39,quinta-feira ,2020-08-20
Jaú,3525300,40,quinta-feira ,2020-08-20
São Joaquim Da Barra,3549409,62,quinta-feira ,2020-08-20
Marília,3529005,38,quinta-feira ,2020-08-20
Taubaté,3554102,40,quinta-feira ,2020-08-20
Vinhedo,3556701,44,quinta-feira ,2020-08-20
Itapevi,3522505,39,quinta-feira ,2020-08-20
Rio Grande Da Serra,3544103,51,quinta-feira ,2020-08-20
Piedade,3537800,50,quinta-feira ,2020-08-20
Bertioga,3506359,49,quinta-feira ,2020-08-20
Limeira,3526902,34,quinta-feira ,2020-08-20
Monte Alto,3531308,51,quinta-feira ,2020-08-20
Mogi Guaçu,3530706,40,quinta-feira ,2020-08-20
Franco Da Rocha,3516408,42,quinta-feira ,2020-08-20
Ribeirão Preto,3543402,41,quinta-feira ,2020-08-20
Sorocaba,3552205,37,quinta-feira ,2020-08-20
Araraquara,3503208,37,quinta-feira ,2020-08-20
Jaboticabal,3524303,43,quinta-feira ,2020-08-20
Embu Das Artes,3515004,48,quinta-feira ,2020-08-20
Barretos,3505500,37,quinta-feira ,2020-08-20
Arujá,3503901,36,quinta-feira ,2020-08-20
Olímpia,3533908,43,quinta-feira ,2020-08-20
Jundiaí,3525904,34,quinta-feira ,2020-08-20
Campos Do Jordão,3509700,43,quinta-feira ,2020-08-20
Registro,3542602,41,quinta-feira ,2020-08-20
Vargem Grande Paulista,3556453,45,quinta-feira ,2020-08-20
Tupã,3555000,43,quinta-feira ,2020-08-20
Itupeva,3524006,35,quinta-feira ,2020-08-20
Araras,3503307,39,quinta-feira ,2020-08-20
Poá,3539806,39,quinta-feira ,2020-08-20
Lorena,3527207,40,quinta-feira ,2020-08-20
São José Do Rio Pardo,3549706,53,quinta-feira ,2020-08-20
Votuporanga,3557105,39,quinta-feira ,2020-08-20
Itapeva,3522406,40,quinta-feira ,2020-08-20
São Paulo,3550308,44,quinta-feira ,2020-08-20
Leme,3526704,44,quinta-feira ,2020-08-20
Avaré,3504503,43,quinta-feira ,2020-08-20
Praia Grande,3541000,46,quinta-feira ,2020-08-20
Boituva,3507001,44,quinta-feira ,2020-08-20
Ibiúna,3519709,47,quinta-feira ,2020-08-20
Caçapava,3508504,44,quinta-feira ,2020-08-20
Cruzeiro,3513405,38,quinta-feira ,2020-08-20
Itu,3523909,36,quinta-feira ,2020-08-20
São José Dos Campos,3549904,45,quinta-feira ,2020-08-20
Indaiatuba,3520509,43,quinta-feira ,2020-08-20
Monte Mor,3531803,53,quinta-feira ,2020-08-20
Osasco,3534401,39,quinta-feira ,2020-08-20
Campo Limpo Paulista,3509601,46,quinta-feira ,2020-08-20
Bebedouro,3506102,53,quinta-feira ,2020-08-20
Paulínia,3536505,35,quinta-feira ,2020-08-20
Franca,3516200,36,quinta-feira ,2020-08-20
Votorantim,3557006,40,quinta-feira ,2020-08-20
Amparo,3501905,40,quinta-feira ,2020-08-20
Itapecerica Da Serra,3522208,45,quinta-feira ,2020-08-20
Caraguatatuba,3510500,43,quinta-feira ,2020-08-20
Cosmópolis,3512803,36,quinta-feira ,2020-08-20
Sumaré,3552403,37,quinta-feira ,2020-08-20
Mairiporã,3528502,44,quinta-feira ,2020-08-20
Piracicaba,3538709,37,quinta-feira ,2020-08-20
Fernandópolis,3515509,41,quinta-feira ,2020-08-20
Taquaritinga,3553708,53,quinta-feira ,2020-08-20
Itararé,3523206,54,quinta-feira ,2020-08-20
Lençóis Paulista,3526803,40,quinta-feira ,2020-08-20
São Carlos,3548906,43,quinta-feira ,2020-08-20
Itaquaquecetuba,3523107,41,quinta-feira ,2020-08-20
Campinas,3509502,38,quinta-feira ,2020-08-20
Mogi Das Cruzes,3530607,42,quinta-feira ,2020-08-20
Batatais,3505906,52,quinta-feira ,2020-08-20
Mauá,3529401,37,quinta-feira ,2020-08-20
Itanhaém,3522109,48,quinta-feira ,2020-08-20
Ferraz De Vasconcelos,3515707,44,quinta-feira ,2020-08-20
Valinhos,3556206,40,quinta-feira ,2020-08-20
Cubatão,3513504,45,quinta-feira ,2020-08-20
Embu-Guaçu,3515103,46,quinta-feira ,2020-08-20
São Roque,3550605,43,quinta-feira ,2020-08-20
Cotia,3513009,40,quinta-feira ,2020-08-20
Jacareí,3524402,41,quinta-feira ,2020-08-20
Santo André,3547809,43,quinta-feira ,2020-08-20
Várzea Paulista,3556503,40,quinta-feira ,2020-08-20
Botucatu,3507506,38,quinta-feira ,2020-08-20
São José Do Rio Preto,3549805,39,quinta-feira ,2020-08-20
Ibitinga,3519600,54,quinta-feira ,2020-08-20
Mogi Mirim,3530805,43,quinta-feira ,2020-08-20
Capivari,3510401,45,quinta-feira ,2020-08-20
Pindamonhangaba,3538006,42,quinta-feira ,2020-08-20
Hortolândia,3519071,38,quinta-feira ,2020-08-20
Nova Odessa,3533403,39,quinta-feira ,2020-08-20
Jaguariúna,3524709,42,quinta-feira ,2020-08-20
Bragança Paulista,3507605,38,quinta-feira ,2020-08-20
Pirassununga,3539301,44,quinta-feira ,2020-08-20
Barueri,3505708,35,quinta-feira ,2020-08-20
Taboão Da Serra,3552809,44,quinta-feira ,2020-08-20
Santos,3548500,39,quinta-feira ,2020-08-20
Guaratinguetá,3518404,37,quinta-feira ,2020-08-20
Atibaia,3504107,38,quinta-feira ,2020-08-20
Catanduva,3511102,37,quinta-feira ,2020-08-20
Porto Feliz,3540606,41,quinta-feira ,2020-08-20
Itapetininga,3522307,43,quinta-feira ,2020-08-20
Assis,3504008,40,quinta-feira ,2020-08-20
Artur Nogueira,3503802,48,quinta-feira ,2020-08-20
Porto Ferreira,3540705,52,quinta-feira ,2020-08-20
São Vicente,3551009,46,quinta-feira ,2020-08-20
Sertãozinho,3551702,43,quinta-feira ,2020-08-20
Caieiras,3509007,37,quinta-feira ,2020-08-20
Santa Isabel,3546801,45,quinta-feira ,2020-08-20
Bauru,3506003,37,quinta-feira ,2020-08-20
Itapira,3522604,38,quinta-feira ,2020-08-20
Peruíbe,3537602,46,quinta-feira ,2020-08-20
Andradina,3502101,41,quinta-feira ,2020-08-20
Ourinhos,3534708,41,quinta-feira ,2020-08-20
Diadema,3513801,38,quinta-feira ,2020-08-20
Ubatuba,3555406,50,quinta-feira ,2020-08-20
Mococa,3530508,58,quinta-feira ,2020-08-20
Carapicuíba,3510609,39,quinta-feira ,2020-08-20
Presidente Prudente,3541406,36,quinta-feira ,2020-08-20
Santana De Parnaíba,3547304,43,quinta-feira ,2020-08-20
Rio Claro,3543907,40,quinta-feira ,2020-08-20
Matão,3529302,40,quinta-feira ,2020-08-20
Leme,3526704,46,sexta-feira ,2020-08-21
Caçapava,3508504,43,sexta-feira ,2020-08-21
Nova Odessa,3533403,39,sexta-feira ,2020-08-21
Araras,3503307,38,sexta-feira ,2020-08-21
Piedade,3537800,50,sexta-feira ,2020-08-21
Carapicuíba,3510609,38,sexta-feira ,2020-08-21
Andradina,3502101,42,sexta-feira ,2020-08-21
Presidente Prudente,3541406,36,sexta-feira ,2020-08-21
Matão,3529302,39,sexta-feira ,2020-08-21
Ubatuba,3555406,51,sexta-feira ,2020-08-21
Ourinhos,3534708,40,sexta-feira ,2020-08-21
Itatiba,3523404,36,sexta-feira ,2020-08-21
Franco Da Rocha,3516408,41,sexta-feira ,2020-08-21
Ferraz De Vasconcelos,3515707,43,sexta-feira ,2020-08-21
Itapetininga,3522307,43,sexta-feira ,2020-08-21
Guarujá,3518701,44,sexta-feira ,2020-08-21
Taubaté,3554102,38,sexta-feira ,2020-08-21
Tatuí,3554003,41,sexta-feira ,2020-08-21
Mococa,3530508,56,sexta-feira ,2020-08-21
Estado De São Paulo,35,42,sexta-feira ,2020-08-21
São Caetano Do Sul,3548807,40,sexta-feira ,2020-08-21
Suzano,3552502,38,sexta-feira ,2020-08-21
Barretos,3505500,37,sexta-feira ,2020-08-21
Porto Feliz,3540606,40,sexta-feira ,2020-08-21
Francisco Morato,3516309,43,sexta-feira ,2020-08-21
Santa Bárbara D'Oeste,3545803,37,sexta-feira ,2020-08-21
Ribeirão Pires,3543303,40,sexta-feira ,2020-08-21
Lorena,3527207,41,sexta-feira ,2020-08-21
Mogi Guaçu,3530706,40,sexta-feira ,2020-08-21
Vinhedo,3556701,42,sexta-feira ,2020-08-21
Penápolis,3537305,49,sexta-feira ,2020-08-21
Lins,3527108,40,sexta-feira ,2020-08-21
Santana De Parnaíba,3547304,44,sexta-feira ,2020-08-21
Taquaritinga,3553708,52,sexta-feira ,2020-08-21
Barueri,3505708,33,sexta-feira ,2020-08-21
Caieiras,3509007,35,sexta-feira ,2020-08-21
Diadema,3513801,36,sexta-feira ,2020-08-21
Bauru,3506003,37,sexta-feira ,2020-08-21
São José Dos Campos,3549904,45,sexta-feira ,2020-08-21
Botucatu,3507506,39,sexta-feira ,2020-08-21
Várzea Paulista,3556503,39,sexta-feira ,2020-08-21
Assis,3504008,40,sexta-feira ,2020-08-21
Jaú,3525300,40,sexta-feira ,2020-08-21
Campo Limpo Paulista,3509601,44,sexta-feira ,2020-08-21
Mauá,3529401,36,sexta-feira ,2020-08-21
São Roque,3550605,42,sexta-feira ,2020-08-21
Itanhaém,3522109,46,sexta-feira ,2020-08-21
Valinhos,3556206,41,sexta-feira ,2020-08-21
São Paulo,3550308,42,sexta-feira ,2020-08-21
Jaboticabal,3524303,41,sexta-feira ,2020-08-21
Rio Claro,3543907,39,sexta-feira ,2020-08-21
Avaré,3504503,42,sexta-feira ,2020-08-21
Itaquaquecetuba,3523107,39,sexta-feira ,2020-08-21
Sertãozinho,3551702,42,sexta-feira ,2020-08-21
Sumaré,3552403,36,sexta-feira ,2020-08-21
São Carlos,3548906,41,sexta-feira ,2020-08-21
Boituva,3507001,39,sexta-feira ,2020-08-21
Indaiatuba,3520509,42,sexta-feira ,2020-08-21
Itapira,3522604,43,sexta-feira ,2020-08-21
Mogi Mirim,3530805,42,sexta-feira ,2020-08-21
Peruíbe,3537602,45,sexta-feira ,2020-08-21
Lençóis Paulista,3526803,40,sexta-feira ,2020-08-21
Piracicaba,3538709,36,sexta-feira ,2020-08-21
Pindamonhangaba,3538006,43,sexta-feira ,2020-08-21
Itararé,3523206,45,sexta-feira ,2020-08-21
Fernandópolis,3515509,41,sexta-feira ,2020-08-21
Hortolândia,3519071,36,sexta-feira ,2020-08-21
Santa Isabel,3546801,42,sexta-feira ,2020-08-21
Araçatuba,3502804,35,sexta-feira ,2020-08-21
Praia Grande,3541000,46,sexta-feira ,2020-08-21
Arujá,3503901,35,sexta-feira ,2020-08-21
Capivari,3510401,40,sexta-feira ,2020-08-21
Mairiporã,3528502,41,sexta-feira ,2020-08-21
Itapecerica Da Serra,3522208,40,sexta-feira ,2020-08-21
Mirassol,3530300,45,sexta-feira ,2020-08-21
Amparo,3501905,40,sexta-feira ,2020-08-21
Santo André,3547809,42,sexta-feira ,2020-08-21
Registro,3542602,40,sexta-feira ,2020-08-21
Monte Mor,3531803,55,sexta-feira ,2020-08-21
Franca,3516200,35,sexta-feira ,2020-08-21
Paulínia,3536505,36,sexta-feira ,2020-08-21
São José Do Rio Preto,3549805,37,sexta-feira ,2020-08-21
Cosmópolis,3512803,41,sexta-feira ,2020-08-21
Embu-Guaçu,3515103,45,sexta-feira ,2020-08-21
Embu Das Artes,3515004,46,sexta-feira ,2020-08-21
Itu,3523909,35,sexta-feira ,2020-08-21
Campinas,3509502,38,sexta-feira ,2020-08-21
Itapevi,3522505,37,sexta-feira ,2020-08-21
Votorantim,3557006,39,sexta-feira ,2020-08-21
Jacareí,3524402,40,sexta-feira ,2020-08-21
Birigui,3506508,41,sexta-feira ,2020-08-21
Limeira,3526902,34,sexta-feira ,2020-08-21
Ibitinga,3519600,52,sexta-feira ,2020-08-21
Itupeva,3524006,37,sexta-feira ,2020-08-21
Cruzeiro,3513405,40,sexta-feira ,2020-08-21
Ribeirão Preto,3543402,41,sexta-feira ,2020-08-21
Cubatão,3513504,44,sexta-feira ,2020-08-21
Guarulhos,3518800,37,sexta-feira ,2020-08-21
São Sebastião,3550704,55,sexta-feira ,2020-08-21
Mongaguá,3531100,44,sexta-feira ,2020-08-21
Sorocaba,3552205,36,sexta-feira ,2020-08-21
Cotia,3513009,39,sexta-feira ,2020-08-21
Poá,3539806,38,sexta-feira ,2020-08-21
Porto Ferreira,3540705,52,sexta-feira ,2020-08-21
Rio Grande Da Serra,3544103,47,sexta-feira ,2020-08-21
Itapeva,3522406,38,sexta-feira ,2020-08-21
Tupã,3555000,39,sexta-feira ,2020-08-21
Monte Alto,3531308,50,sexta-feira ,2020-08-21
Campos Do Jordão,3509700,43,sexta-feira ,2020-08-21
Jandira,3525003,37,sexta-feira ,2020-08-21
Americana,3501608,36,sexta-feira ,2020-08-21
Cajamar,3509205,36,sexta-feira ,2020-08-21
São Bernardo Do Campo,3548708,43,sexta-feira ,2020-08-21
São Joaquim Da Barra,3549409,61,sexta-feira ,2020-08-21
Bertioga,3506359,48,sexta-feira ,2020-08-21
Pirassununga,3539301,43,sexta-feira ,2020-08-21
Bragança Paulista,3507605,36,sexta-feira ,2020-08-21
Ibiúna,3519709,47,sexta-feira ,2020-08-21
Jaguariúna,3524709,42,sexta-feira ,2020-08-21
São João Da Boa Vista,3549102,46,sexta-feira ,2020-08-21
Olímpia,3533908,42,sexta-feira ,2020-08-21
Osasco,3534401,39,sexta-feira ,2020-08-21
São José Do Rio Pardo,3549706,53,sexta-feira ,2020-08-21
Batatais,3505906,50,sexta-feira ,2020-08-21
Salto,3545209,34,sexta-feira ,2020-08-21
Taboão Da Serra,3552809,43,sexta-feira ,2020-08-21
Jundiaí,3525904,32,sexta-feira ,2020-08-21
Caraguatatuba,3510500,45,sexta-feira ,2020-08-21
Votuporanga,3557105,41,sexta-feira ,2020-08-21
Guaratinguetá,3518404,39,sexta-feira ,2020-08-21
Santos,3548500,38,sexta-feira ,2020-08-21
Mogi Das Cruzes,3530607,41,sexta-feira ,2020-08-21
São Vicente,3551009,46,sexta-feira ,2020-08-21
Araraquara,3503208,37,sexta-feira ,2020-08-21
Catanduva,3511102,36,sexta-feira ,2020-08-21
Atibaia,3504107,38,sexta-feira ,2020-08-21
Marília,3529005,38,sexta-feira ,2020-08-21
Vargem Grande Paulista,3556453,44,sexta-feira ,2020-08-21
Bebedouro,3506102,47,sexta-feira ,2020-08-21
Artur Nogueira,3503802,47,sexta-feira ,2020-08-21
Birigui,3506508,40,sábado ,2020-08-22
Porto Ferreira,3540705,54,sábado ,2020-08-22
Tatuí,3554003,43,sábado ,2020-08-22
Limeira,3526902,37,sábado ,2020-08-22
Votorantim,3557006,41,sábado ,2020-08-22
Presidente Prudente,3541406,38,sábado ,2020-08-22
Taboão Da Serra,3552809,47,sábado ,2020-08-22
São José Do Rio Preto,3549805,41,sábado ,2020-08-22
Ubatuba,3555406,54,sábado ,2020-08-22
Itupeva,3524006,43,sábado ,2020-08-22
Guarulhos,3518800,40,sábado ,2020-08-22
Poá,3539806,39,sábado ,2020-08-22
Santana De Parnaíba,3547304,50,sábado ,2020-08-22
Rio Claro,3543907,42,sábado ,2020-08-22
Mauá,3529401,40,sábado ,2020-08-22
Praia Grande,3541000,48,sábado ,2020-08-22
Catanduva,3511102,39,sábado ,2020-08-22
São José Dos Campos,3549904,48,sábado ,2020-08-22
Atibaia,3504107,40,sábado ,2020-08-22
Itu,3523909,40,sábado ,2020-08-22
Marília,3529005,40,sábado ,2020-08-22
Pindamonhangaba,3538006,44,sábado ,2020-08-22
Caraguatatuba,3510500,47,sábado ,2020-08-22
Hortolândia,3519071,41,sábado ,2020-08-22
Taquaritinga,3553708,56,sábado ,2020-08-22
Mococa,3530508,58,sábado ,2020-08-22
Pirassununga,3539301,46,sábado ,2020-08-22
Ribeirão Pires,3543303,45,sábado ,2020-08-22
Matão,3529302,42,sábado ,2020-08-22
Osasco,3534401,41,sábado ,2020-08-22
Rio Grande Da Serra,3544103,54,sábado ,2020-08-22
Itapevi,3522505,40,sábado ,2020-08-22
Mairiporã,3528502,46,sábado ,2020-08-22
Franca,3516200,36,sábado ,2020-08-22
Campinas,3509502,41,sábado ,2020-08-22
Jaboticabal,3524303,43,sábado ,2020-08-22
Santa Bárbara D'Oeste,3545803,41,sábado ,2020-08-22
Campo Limpo Paulista,3509601,49,sábado ,2020-08-22
Mongaguá,3531100,49,sábado ,2020-08-22
Ourinhos,3534708,43,sábado ,2020-08-22
Arujá,3503901,38,sábado ,2020-08-22
Mirassol,3530300,49,sábado ,2020-08-22
Franco Da Rocha,3516408,45,sábado ,2020-08-22
Jaú,3525300,44,sábado ,2020-08-22
São Paulo,3550308,47,sábado ,2020-08-22
Araçatuba,3502804,36,sábado ,2020-08-22
Santo André,3547809,45,sábado ,2020-08-22
São José Do Rio Pardo,3549706,55,sábado ,2020-08-22
Carapicuíba,3510609,41,sábado ,2020-08-22
Itararé,3523206,56,sábado ,2020-08-22
São Sebastião,3550704,59,sábado ,2020-08-22
Sumaré,3552403,39,sábado ,2020-08-22
Embu Das Artes,3515004,50,sábado ,2020-08-22
Várzea Paulista,3556503,43,sábado ,2020-08-22
Cosmópolis,3512803,40,sábado ,2020-08-22
Paulínia,3536505,37,sábado ,2020-08-22
Monte Mor,3531803,56,sábado ,2020-08-22
Sertãozinho,3551702,45,sábado ,2020-08-22
São João Da Boa Vista,3549102,50,sábado ,2020-08-22
Itapira,3522604,46,sábado ,2020-08-22
Valinhos,3556206,42,sábado ,2020-08-22
Embu-Guaçu,3515103,47,sábado ,2020-08-22
Itapecerica Da Serra,3522208,47,sábado ,2020-08-22
Boituva,3507001,44,sábado ,2020-08-22
Cruzeiro,3513405,49,sábado ,2020-08-22
Piedade,3537800,52,sábado ,2020-08-22
Amparo,3501905,40,sábado ,2020-08-22
São Carlos,3548906,46,sábado ,2020-08-22
Artur Nogueira,3503802,52,sábado ,2020-08-22
Mogi Mirim,3530805,46,sábado ,2020-08-22
Cotia,3513009,43,sábado ,2020-08-22
Sorocaba,3552205,40,sábado ,2020-08-22
Estado De São Paulo,35,46,sábado ,2020-08-22
Leme,3526704,48,sábado ,2020-08-22
Suzano,3552502,39,sábado ,2020-08-22
Registro,3542602,44,sábado ,2020-08-22
Lorena,3527207,45,sábado ,2020-08-22
São Caetano Do Sul,3548807,43,sábado ,2020-08-22
Francisco Morato,3516309,46,sábado ,2020-08-22
Bragança Paulista,3507605,41,sábado ,2020-08-22
Barretos,3505500,38,sábado ,2020-08-22
Araras,3503307,41,sábado ,2020-08-22
Peruíbe,3537602,49,sábado ,2020-08-22
Lins,3527108,45,sábado ,2020-08-22
Andradina,3502101,44,sábado ,2020-08-22
Ibitinga,3519600,50,sábado ,2020-08-22
Itanhaém,3522109,49,sábado ,2020-08-22
Assis,3504008,42,sábado ,2020-08-22
Santa Isabel,3546801,48,sábado ,2020-08-22
Itaquaquecetuba,3523107,42,sábado ,2020-08-22
Penápolis,3537305,52,sábado ,2020-08-22
Capivari,3510401,45,sábado ,2020-08-22
Taubaté,3554102,41,sábado ,2020-08-22
Itapetininga,3522307,45,sábado ,2020-08-22
Avaré,3504503,45,sábado ,2020-08-22
Porto Feliz,3540606,45,sábado ,2020-08-22
Caçapava,3508504,46,sábado ,2020-08-22
Diadema,3513801,39,sábado ,2020-08-22
Caieiras,3509007,39,sábado ,2020-08-22
Nova Odessa,3533403,42,sábado ,2020-08-22
Jaguariúna,3524709,44,sábado ,2020-08-22
Bauru,3506003,39,sábado ,2020-08-22
Itatiba,3523404,40,sábado ,2020-08-22
Vinhedo,3556701,47,sábado ,2020-08-22
Mogi Guaçu,3530706,42,sábado ,2020-08-22
São Bernardo Do Campo,3548708,48,sábado ,2020-08-22
São Joaquim Da Barra,3549409,64,sábado ,2020-08-22
Lençóis Paulista,3526803,42,sábado ,2020-08-22
Jundiaí,3525904,38,sábado ,2020-08-22
Votuporanga,3557105,47,sábado ,2020-08-22
Itapeva,3522406,42,sábado ,2020-08-22
Ferraz De Vasconcelos,3515707,47,sábado ,2020-08-22
Vargem Grande Paulista,3556453,48,sábado ,2020-08-22
Batatais,3505906,49,sábado ,2020-08-22
Bebedouro,3506102,51,sábado ,2020-08-22
Mogi Das Cruzes,3530607,45,sábado ,2020-08-22
São Vicente,3551009,49,sábado ,2020-08-22
Guaratinguetá,3518404,43,sábado ,2020-08-22
Araraquara,3503208,41,sábado ,2020-08-22
Guarujá,3518701,47,sábado ,2020-08-22
Jacareí,3524402,43,sábado ,2020-08-22
Bertioga,3506359,51,sábado ,2020-08-22
Americana,3501608,37,sábado ,2020-08-22
Santos,3548500,42,sábado ,2020-08-22
Olímpia,3533908,47,sábado ,2020-08-22
Cajamar,3509205,40,sábado ,2020-08-22
Indaiatuba,3520509,45,sábado ,2020-08-22
Ibiúna,3519709,49,sábado ,2020-08-22
São Roque,3550605,46,sábado ,2020-08-22
Barueri,3505708,36,sábado ,2020-08-22
Ribeirão Preto,3543402,44,sábado ,2020-08-22
Fernandópolis,3515509,40,sábado ,2020-08-22
Botucatu,3507506,41,sábado ,2020-08-22
Campos Do Jordão,3509700,45,sábado ,2020-08-22
Cubatão,3513504,47,sábado ,2020-08-22
Jandira,3525003,35,sábado ,2020-08-22
Piracicaba,3538709,39,sábado ,2020-08-22
Tupã,3555000,45,sábado ,2020-08-22
Salto,3545209,41,sábado ,2020-08-22
Monte Alto,3531308,52,sábado ,2020-08-22
Paulínia,3536505,44,domingo ,2020-08-23
Guarulhos,3518800,45,domingo ,2020-08-23
Jaguariúna,3524709,53,domingo ,2020-08-23
Pindamonhangaba,3538006,49,domingo ,2020-08-23
Pirassununga,3539301,50,domingo ,2020-08-23
Limeira,3526902,41,domingo ,2020-08-23
Boituva,3507001,46,domingo ,2020-08-23
Monte Alto,3531308,54,domingo ,2020-08-23
Andradina,3502101,48,domingo ,2020-08-23
Ubatuba,3555406,56,domingo ,2020-08-23
Itapira,3522604,46,domingo ,2020-08-23
São Carlos,3548906,51,domingo ,2020-08-23
Valinhos,3556206,49,domingo ,2020-08-23
Caieiras,3509007,49,domingo ,2020-08-23
Itaquaquecetuba,3523107,45,domingo ,2020-08-23
Vinhedo,3556701,52,domingo ,2020-08-23
Diadema,3513801,43,domingo ,2020-08-23
Santa Isabel,3546801,51,domingo ,2020-08-23
Mairiporã,3528502,51,domingo ,2020-08-23
Caraguatatuba,3510500,50,domingo ,2020-08-23
Mirassol,3530300,56,domingo ,2020-08-23
Bauru,3506003,45,domingo ,2020-08-23
Araraquara,3503208,46,domingo ,2020-08-23
Poá,3539806,43,domingo ,2020-08-23
Ibiúna,3519709,53,domingo ,2020-08-23
Ribeirão Pires,3543303,50,domingo ,2020-08-23
São Vicente,3551009,53,domingo ,2020-08-23
Bragança Paulista,3507605,45,domingo ,2020-08-23
Lins,3527108,47,domingo ,2020-08-23
Porto Ferreira,3540705,57,domingo ,2020-08-23
Tupã,3555000,49,domingo ,2020-08-23
São José Do Rio Preto,3549805,48,domingo ,2020-08-23
São Caetano Do Sul,3548807,49,domingo ,2020-08-23
Campo Limpo Paulista,3509601,54,domingo ,2020-08-23
Taboão Da Serra,3552809,51,domingo ,2020-08-23
Olímpia,3533908,48,domingo ,2020-08-23
Campos Do Jordão,3509700,42,domingo ,2020-08-23
Fernandópolis,3515509,44,domingo ,2020-08-23
Cajamar,3509205,49,domingo ,2020-08-23
Santa Bárbara D'Oeste,3545803,45,domingo ,2020-08-23
Artur Nogueira,3503802,54,domingo ,2020-08-23
Jacareí,3524402,46,domingo ,2020-08-23
Monte Mor,3531803,61,domingo ,2020-08-23
Matão,3529302,46,domingo ,2020-08-23
Franca,3516200,43,domingo ,2020-08-23
Ferraz De Vasconcelos,3515707,51,domingo ,2020-08-23
Porto Feliz,3540606,49,domingo ,2020-08-23
Votuporanga,3557105,50,domingo ,2020-08-23
Arujá,3503901,41,domingo ,2020-08-23
Taquaritinga,3553708,59,domingo ,2020-08-23
São João Da Boa Vista,3549102,54,domingo ,2020-08-23
Capivari,3510401,54,domingo ,2020-08-23
São Bernardo Do Campo,3548708,53,domingo ,2020-08-23
Tatuí,3554003,48,domingo ,2020-08-23
Avaré,3504503,52,domingo ,2020-08-23
Itapevi,3522505,43,domingo ,2020-08-23
Batatais,3505906,55,domingo ,2020-08-23
Estado De São Paulo,35,50,domingo ,2020-08-23
Jaboticabal,3524303,48,domingo ,2020-08-23
Mauá,3529401,44,domingo ,2020-08-23
Itatiba,3523404,46,domingo ,2020-08-23
São Sebastião,3550704,61,domingo ,2020-08-23
Carapicuíba,3510609,44,domingo ,2020-08-23
São Joaquim Da Barra,3549409,68,domingo ,2020-08-23
Cubatão,3513504,53,domingo ,2020-08-23
Hortolândia,3519071,44,domingo ,2020-08-23
Guarujá,3518701,49,domingo ,2020-08-23
Votorantim,3557006,45,domingo ,2020-08-23
Barretos,3505500,42,domingo ,2020-08-23
Embu-Guaçu,3515103,51,domingo ,2020-08-23
Rio Grande Da Serra,3544103,58,domingo ,2020-08-23
Barueri,3505708,43,domingo ,2020-08-23
Jundiaí,3525904,43,domingo ,2020-08-23
Franco Da Rocha,3516408,49,domingo ,2020-08-23
Sorocaba,3552205,44,domingo ,2020-08-23
Cosmópolis,3512803,50,domingo ,2020-08-23
