Data,Departamento Regional de Saúde,mm7d da Ocupação dos leitos de UTI e Enfermaria (%),Nº de novas internações nos últimos 7 dias,Pacientes em tratamento na UTI,Total de leitos de UTI destinados à Covid,Ocupação dos leitos de UTI e Enfermaria (%),Novos casos de internações (UTI e Enfermaria),Pacientes em tratamento na Enfermaria,Total de leitos de Enfermaria destinados à Covid
2020-05-31,DRS 15 São José do Rio Preto,28.5,232,63,199,31.7,33,110,382
2020-05-31,DRS 16 Sorocaba,62.9,288,97,166,58.4,39,169,504
2020-05-31,DRS 17 Taubaté,44.8,306,110,253,43.5,43,168,590
2020-05-31,DRS 13 Ribeirão Preto,42.2,232,63,150,42.0,39,90,328
2020-05-31,DRS 08 Franca,51.1,40,18,32,56.2,6,11,80
2020-05-31,DRS 07 Campinas,60.4,763,367,605,60.7,104,386,1096
2020-05-31,DRS 05 Barretos,14.2,50,8,56,14.3,7,18,132
2020-05-31,Município de São Paulo,79.1,5633,2574,3306,77.9,837,4463,6497
2020-05-31,Grande SP Leste,78.0,634,291,391,74.4,86,514,889
2020-05-31,Grande SP Norte,85.1,132,59,70,84.3,13,112,200
2020-05-31,Grande SP Oeste,86.9,560,184,210,87.6,81,381,592
2020-05-31,DRS 06 Bauru,45.2,205,51,120,42.5,31,129,464
2020-05-31,Grande SP Sudoeste,72.1,276,83,116,71.6,32,197,393
2020-05-31,DRS 02 Araçatuba,24.8,50,15,66,22.7,10,33,231
2020-05-31,DRS 03 Araraquara,28.1,113,20,63,31.8,10,34,331
2020-05-31,DRS 04 Baixada Santista,69.9,582,258,372,69.4,94,464,747
2020-05-31,Grande SP Sudeste,75.9,1198,461,659,70.0,191,750,1233
2020-06-01,Estado de São Paulo,68.3,11730,4980,7438,67.0,1535,8239,15928
2020-06-01,DRS 17 Taubaté,44.6,289,121,278,43.5,37,159,649
2020-06-01,DRS 16 Sorocaba,63.3,274,100,167,59.9,23,157,498
2020-06-01,DRS 15 São José do Rio Preto,28.8,243,60,199,30.2,37,90,464
2020-06-01,DRS 14 São João da Boa Vista,20.6,88,20,121,16.5,13,44,320
2020-06-01,DRS 13 Ribeirão Preto,43.4,230,71,157,45.2,28,79,327
2020-06-01,DRS 12 Registro,45.4,26,11,22,50.0,1,10,46
2020-06-01,DRS 11 Presidente Prudente,52.1,41,22,44,50.0,3,32,154
2020-06-01,DRS 09 Marília,20.6,100,25,104,24.0,12,69,362
2020-06-01,DRS 08 Franca,53.1,45,19,32,59.4,11,15,144
2020-06-01,DRS 10 Piracicaba,51.2,143,69,134,51.5,18,86,265
2020-06-01,DRS 07 Campinas,60.5,767,369,593,62.2,88,418,1099
2020-06-01,DRS 05 Barretos,12.9,46,5,56,8.9,4,12,132
2020-06-01,DRS 04 Baixada Santista,69.4,591,270,372,72.6,78,452,732
2020-06-01,DRS 03 Araraquara,29.4,118,22,63,34.9,20,41,327
2020-06-01,DRS 02 Araçatuba,24.0,62,14,65,21.5,14,40,230
2020-06-01,Grande SP Sudoeste,73.2,258,82,116,70.7,32,190,395
2020-06-01,Grande SP Sudeste,75.3,1207,470,634,74.1,170,752,1218
2020-06-01,Grande SP Oeste,87.3,549,195,219,89.0,64,399,601
2020-06-01,Grande SP Norte,84.6,128,56,69,81.2,12,109,200
