Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
ESPÍRITO SANTO DO TURVO;194;83,517835178;83,517835178;4878;4074
SALES;195;83,494615265;83,494615265;6407;5349,5
ITAPIRA;196;83,459606029;83,459606029;75234;62790
PRAIA GRANDE;197;83,456301289;83,456301289;330845;276111
SERRA NEGRA;198;83,437457558;83,437457558;29452;24574
JAGUARIÚNA;199;83,437212629;83,437212629;58722;48996
ARAÇATUBA;200;83,435791833;83,435791833;198129;165310,5
ANDRADINA;201;83,425404706;83,425404706;57202;47721
SANTA CRUZ DO RIO PARDO;202;83,384435684;83,384435684;47943;39977
CONCHAL;203;83,333922824;83,333922824;28273;23561
ARANDU;204;83,330714847;83,330714847;6365;5304
BARRA BONITA;205;83,325029065;83,325029065;36126;30102
RANCHARIA;206;83,272219606;83,272219606;29726;24753,5
JUNQUEIRÓPOLIS;207;83,270126254;83,270126254;20831;17346
NAZARÉ PAULISTA;208;83,238849075;83,238849075;18698;15564
OUROESTE;209;83,219470538;83,219470538;10539;8770,5
PORTO FELIZ;210;83,213175536;83,213175536;53402;44437,5
SÃO JOSÉ DO RIO PARDO;211;83,209672738;83,209672738;55124;45868,5
TAPIRATIBA;212;83,204633205;83,204633205;12950;10775
INDIANA;213;83,193277311;83,193277311;4879;4059
SÃO JOSÉ DO BARREIRO;214;83,168436293;83,168436293;4144;3446,5
LARANJAL PAULISTA;215;83,168316832;83,168316832;28785;23940
PONTES GESTAL;216;83,158711680;83,158711680;2577;2143
SÃO CAETANO DO SUL;217;83,141204147;83,141204147;161957;134653
ILHA SOLTEIRA;218;83,087576527;83,087576527;26788;22257,5
INDAIATUBA;219;83,030797391;83,030797391;256223;212744
SANTO ANTÔNIO DE POSSE;220;83,001827532;83,001827532;23529;19529,5
DESCALVADO;221;82,981421410;82,981421410;33910;28139
LAVÍNIA;222;82,979242979;82,979242979;12285;10194
BURITAMA;223;82,963948846;82,963948846;17281;14337
AMÉRICO DE CAMPOS;224;82,945995653;82,945995653;5981;4961
PIRACICABA;225;82,933171599;82,933171599;407252;337747
CARDOSO;226;82,913596243;82,913596243;12349;10239
