Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
MARIÁPOLIS;576;73,625030555;73,625030555;4091;3012
IGARAPAVA;577;73,613379500;73,613379500;30614;22536
ORLÂNDIA;578;73,582055906;73,582055906;44360;32641
OURO VERDE;579;73,538283063;73,538283063;8620;6339
MARABÁ PAULISTA;580;73,402824479;73,402824479;5948;4366
RIO DAS PEDRAS;581;73,370082265;73,370082265;35738;26221
RINCÃO;582;73,201072882;73,201072882;10812;7914,5
RIBEIRÃO BONITO;583;73,182194150;73,182194150;13299;9732,5
JACUPIRANGA;584;72,969422550;72,969422550;17889;13053,5
PONTALINDA;585;72,956782199;72,956782199;4674;3410
PRESIDENTE EPITÁCIO;586;72,940368109;72,940368109;44389;32377,5
MAIRIPORÃ;587;72,917586352;72,917586352;101937;74330
JAMBEIRO;588;72,874795296;72,874795296;6717;4895
PALESTINA;589;72,845385964;72,845385964;13123;9559,5
ITAPECERICA DA SERRA;590;72,802006056;72,802006056;177662;129341,5
AREIÓPOLIS;591;72,660871124;72,660871124;11158;8107,5
PINDORAMA;592;72,580738848;72,580738848;17216;12495,5
NANTES;593;72,538534130;72,538534130;3179;2306
CANAS;594;72,482705611;72,482705611;5204;3772
GUZOLÂNDIA;595;72,451479178;72,451479178;5307;3845
UBARANA;596;72,3125;72,3125;6400;4628
GUAREÍ;597;72,232223222;72,232223222;18887;13642,5
SANTA GERTRUDES;598;72,230743947;72,230743947;27381;19777,5
SEVERÍNIA;599;72,088216975;72,088216975;17661;12731,5
ORINDIÚVA;600;72,087850987;72,087850987;7194;5186
TERRA ROXA;601;72,046201123;72,046201123;9437;6799
PROMISSÃO;602;71,993484863;71,993484863;40828;29393,5
PLANALTO;603;71,945701357;71,945701357;5304;3816
SANTA LÚCIA;604;71,493110459;71,493110459;8854;6330
BENTO DE ABREU;605;71,414309484;71,414309484;3005;2146
ALTAIR;606;71,404682274;71,404682274;4186;2989
VOTORANTIM;607;71,268780492;71,268780492;123599;88087,5
AVANHANDAVA;608;71,260552709;71,260552709;13859;9876
BARBOSA;609;71,183717193;71,183717193;7468;5316
SANTA CRUZ DAS PALMEIRAS;610;71,174827993;71,174827993;34737;24724
AMÉRICO BRASILIENSE;611;71,149346851;71,149346851;41032;29194
ARIRANHA;612;70,802171909;70,802171909;9761;6911
IPERÓ;613;70,799968391;70,799968391;37964;26878,5
IPEÚNA;614;70,794848445;70,794848445;7687;5442
PEDRO DE TOLEDO;615;70,786270904;70,786270904;11421;8084,5
LUIZIÂNIA;616;70,777113578;70,777113578;5855;4144
IBIRAREMA;617;70,692513710;70,692513710;7841;5543
SÃO JOSÉ DA BELA VISTA;618;70,686383929;70,686383929;8960;6333,5
MORRO AGUDO;619;70,638067772;70,638067772;33288;23514
PITANGUEIRAS;620;70,598802395;70,598802395;40080;28296
LAVRINHAS;621;70,592258241;70,592258241;7311;5161
SANDOVALINA;622;70,555810749;70,555810749;4354;3072
EUCLIDES DA CUNHA PAULISTA;623;70,434316354;70,434316354;9325;6568
FLÓRIDA PAULISTA;624;70,422582826;70,422582826;14790;10415,5
MAUÁ;625;70,279257547;70,279257547;477552;335620
NOVA EUROPA;626;70,233377367;70,233377367;11355;7975
SANTÓPOLIS DO AGUAPEÍ;627;70,147394644;70,147394644;4817;3379
PIRAJUÍ;628;69,915237762;69,915237762;25719;17981,5
CUBATÃO;629;69,642016015;69,642016015;131626;91667
PRADÓPOLIS;630;69,480638230;69,480638230;21873;15197,5
CLEMENTINA;631;69,430170150;69,430170150;8757;6080
ITAPURA;632;69,379923248;69,379923248;4951;3435
LUÍS ANTÔNIO;633;69,193042114;69,193042114;15292;10581
FERRAZ DE VASCONCELOS;634;68,607633588;68,607633588;196500;134814
ELDORADO;635;68,338265569;68,338265569;15544;10622,5
ITARIRI;636;67,547448574;67,547448574;17598;11887
PRACINHA;637;67,022792023;67,022792023;4212;2823
PONTAL;638;65,895146700;65,895146700;50852;33509
COSMÓPOLIS;639;65,207420312;65,207420312;73474;47910,5
NOVAIS;640;62,910008410;62,910008410;5945;3740
NOVA LUZITÂNIA;641;62,620192308;62,620192308;4160;2605
GASTÃO VIDIGAL;642;61,934156379;61,934156379;4860;3010
QUELUZ;643;61,042922240;61,042922240;13606;8305,5
RIO GRANDE DA SERRA;644;59,770394276;59,770394276;51436;30743,5
PALMARES PAULISTA;645;59,242918582;59,242918582;13486;7989,5
