Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Dumont,8264,5897,226,288,14060
Echaporã,5246,3819,258,126,9803
Eldorado,10507,7512,302,173,21734
Elias Fausto,14043,9689,282,540,26701
Elisiário,2635,2143,150,100,5686
Embaúba,1849,1556,105,60,3773
Embu Das Artes,201434,133516,2947,7181,364618
Embu-Guaçu,51091,35979,1095,1400,107208
Emilianópolis,2564,2168,190,70,4766
Engenheiro Coelho,16049,10717,264,632,27343
Espírito Santo Do Pinhal,34908,26671,1709,1005,68033
Espírito Santo Do Turvo,3977,2865,147,105,6864
Estiva Gerbi,8770,5984,147,319,16523
Estrela D'Oeste,7263,5775,321,207,12914
Estrela Do Norte,2250,1902,91,48,3917
Euclides Da Cunha Paulista,6375,4448,155,202,15050
Fartura,12873,8972,332,371,25328
Fernando Prestes,4899,3988,230,125,9341
Fernandópolis,58934,48245,3488,1481,108061
Fernão,1436,1151,89,30,2680
Ferraz De Vasconcelos,129888,93126,3568,5248,277712
Flora Rica,1305,1176,184,19,2317
Floreal,2450,2194,200,50,4825
Florínea,3957,2095,107,28,5853
Flórida Paulista,10138,8112,503,279,20375
Franca,277439,203279,4341,8455,515244
Francisco Morato,133643,91207,1523,4484,240484
Franco Da Rocha,121497,87853,2445,6980,219944
Gabriel Monteiro,2315,1983,94,62,4318
Garça,34679,25849,852,991,68704
Gastão Vidigal,2862,2356,166,151,6656
Gavião Peixoto,3852,3035,141,127,6973
General Salgado,8625,7091,417,236,15837
Getulina,8924,6697,282,255,16663
Glicério,3587,2799,138,125,7160
Guaimbê,4341,3408,198,130,9033
Guaiçara,9142,6744,184,319,16817
Guapiara,14245,10376,202,392,26019
Guapiaçu,17363,12364,390,554,32792
Guaraci,8392,6216,365,317,16913
Guarani D'Oeste,1724,1484,114,30,3333
Guarantã,5031,3518,174,182,10026
Guararapes,25441,19758,1028,825,48953
Guararema,26058,19675,488,848,45555
Guaratinguetá,95455,75318,2986,3080,178828
Guaraçaí,6444,5187,317,194,12728
Guareí,13225,10298,297,432,27510
Guariba,30497,21838,774,1159,57142
Guarujá,236491,159719,6963,8356,439967
Guarulhos,1035093,742156,17794,37356,1975105
Guará,15580,12177,831,508,30189
Guatapará,6035,4764,251,210,11526
Guaíra,32444,25020,1179,1031,60113
Guzolândia,3731,3067,173,115,6974
Gália,5474,4549,315,134,9998
Herculândia,6922,4856,255,226,13372
Holambra,13024,9728,304,413,24490
Hortolândia,181406,127017,3009,6739,339933
Iacanga,8935,7213,343,362,16844
Iacri,5215,4150,217,143,9807
Iaras,7361,5853,206,191,16075
Ibaté,26740,19901,614,1020,51948
Ibirarema,5394,4283,349,159,10889
Ibirá,9779,7641,321,341,19954
Ibitinga,47482,35618,1565,1663,88791
Ibiúna,60412,30530,483,2091,122353
Icém,6342,4559,219,235,12517
Iepê,6447,5518,431,184,11990
Igarapava,21780,16751,600,768,41154
Igaratá,8537,6055,254,215,14997
Igaraçu Do Tietê,18809,14989,381,694,35992
Iguape,23893,18127,846,600,45185
Ilha Comprida,10743,7231,166,195,18740
Ilha Solteira,21788,17754,972,502,38982
Ilhabela,31506,20810,696,860,54444
Indaiatuba,205873,161519,7736,6873,375577
Indiana,3953,3193,203,112,7199
Indiaporã,3403,2872,217,82,6484
Inúbia Paulista,3041,2546,159,90,5922
Ipaussu,11021,8754,400,367,20474
Iperó,25946,19118,600,980,56147
Ipeúna,5270,3886,231,179,10722
Ipiguá,4595,3540,153,120,9147
Iporanga,3190,2483,187,31,6064
Ipuã,12130,9334,381,443,22440
Iracemápolis,17835,13374,366,696,35807
Irapuru,6766,5156,282,79,11676
Irapuã,5754,4485,226,209,11367
Itaberá,14883,12406,534,362,26359
Itajobi,13350,10685,553,360,24285
Itaju,2879,2005,88,98,5179
Itanhaém,90843,64003,3781,2131,156142
Itaoca,2779,2434,144,49,5591
Itapecerica Da Serra,125778,90143,2341,4147,261938
Itapetininga,129350,94538,5678,2946,223407
Itapeva,74298,56837,2243,2041,136638
Itapevi,184123,110894,1407,6655,336924
Itapira,61088,47913,2058,1840,114889
Itapirapuã Paulista,3449,2715,69,85,6271
Itaporanga,11862,9240,424,314,22694
Itapura,3365,2680,119,75,6877
Itapuí,10747,8005,368,360,19559
Itaquaquecetuba,269265,165750,2660,9733,514863
Itararé,36863,30712,440,1115,69858
Itariri,11501,8184,372,401,23754
Itatiba,95741,70924,3127,3343,175465
Itatinga,15433,11595,372,528,30247
Itaí,21592,16946,482,689,38384
Itirapina,14122,9233,278,406,28964
Itirapuã,4858,3738,147,162,9920
Itobi,6314,4220,226,204,12365
Itu,143605,110325,4214,5152,260082
Itupeva,50056,35476,521,1902,88745
Ituverava,31224,25808,1036,1075,63987
Itápolis,32903,24581,960,1041,59013
Jaborandi,5099,4105,192,163,9795
Jaboticabal,60735,45611,2619,1766,120091
Jacareí,175107,118159,2058,5553,344634
Jaci,6110,4814,249,187,11282
Jacupiranga,12730,9201,445,379,25660
Jaguariúna,47340,37019,1341,1658,83618
Jales,40974,30893,1817,946,75690
Jambeiro,4712,3616,153,185,9500
Jandira,90210,57448,1499,3364,172756
Jardinópolis,35912,24963,932,1174,64700
Jarinu,26789,18773,425,874,46216
Jaú,110028,78810,3936,3653,216347
Jeriquara,2809,2003,84,71,4614
Joanópolis,11117,8153,347,391,20296
José Bonifácio,29382,23087,1112,1012,54578
João Ramalho,3454,2763,162,119,6525
Jumirim,2778,2138,91,98,4905
Jundiaí,337157,270121,10253,11228,623246
Junqueirópolis,16957,14007,627,409,32055
Juquitiba,25336,17541,451,711,46984
Juquiá,14184,9930,413,395,27141
Júlio Mesquita,3616,2834,141,118,6896
Lagoinha,4560,3883,255,88,8402
Laranjal Paulista,23343,17407,540,636,41834
Lavrinhas,4982,3504,114,186,10176
Lavínia,10084,8367,195,117,18978
Leme,79968,60320,2342,2690,144284
Lençóis Paulista,54863,38435,979,1864,99546
Limeira,238529,158900,3753,8509,421214
Lindóia,5814,4584,151,224,12623
Lins,61121,47418,2707,1744,115043
Lorena,68052,47696,1972,2044,130448
Lourdes,1860,1525,232,47,3687
Louveira,39119,27682,736,1633,68464
Lucianópolis,2081,1619,89,44,3899
Lucélia,16959,13065,622,583,33778
Luiziânia,4031,3283,114,120,8731
Lupércio,3405,2393,41,107,6653
Lutécia,2227,1834,121,55,4094
Luís Antônio,10162,7639,216,438,18855
Macatuba,13589,10719,624,437,24759
Macaubal,6183,4890,383,206,12384
Macedônia,3189,2725,161,80,5888
Magda,2661,2191,140,65,5128
Mairinque,43319,28585,662,1205,77297
Mairiporã,72093,50369,2011,2423,150397
Manduri,8100,6476,341,246,15153
Marabá Paulista,4307,3021,45,59,8481
Maracaí,10875,8396,469,283,19188
Marapoama,2593,2149,169,71,5105
Marinópolis,1633,1440,52,40,3033
Mariápolis,2908,2469,138,109,5997
Martinópolis,21431,17241,730,548,39308
Marília,190105,139184,4666,4455,330759
Matão,68625,52930,2119,2231,123284
Mauá,323378,234443,9616,12836,663883
Mendonça,5046,3884,199,120,9239
Meridiano,3417,2686,155,90,6529
Mesópolis,1714,1361,166,37,3108
Miguelópolis,16328,12600,457,631,29995
Mineiros Do Tietê,9420,7410,305,310,17263
Mira Estrela,2498,2152,300,53,4767
Miracatu,15804,11369,381,404,31059
Mirandópolis,24472,18560,1061,525,46430
Mirante Do Paranapanema,13381,10181,493,361,26538
Mirassol,48908,39166,999,1690,92341
Mirassolândia,4184,3192,223,120,7514
Mococa,57537,43750,1895,1662,103721
Mogi Das Cruzes,337574,253180,6711,10089,631532
Mogi Guaçu,118311,85416,1224,3989,234331
Mogi Mirim,76496,59927,2308,2424,143376
Mombuca,2923,1987,124,71,5647
Mongaguá,46067,31154,623,1181,88690
Monte Alegre Do Sul,6467,5066,247,189,12642
Monte Alto,40137,32275,1395,1160,75053
Monte Aprazível,18550,15166,725,672,34708
Monte Azul Paulista,15357,12012,323,338,29486
Monte Castelo,3326,2904,219,88,6375
