Data de Registro,1ª Dose,2ª Dose,3ª Dose,Dose Única
23 de março de 2021,104667,21504,0,0
23 de setembro de 2021,67398,340538,20265,346
24 de abril de 2021,64582,64116,0,1
24 de agosto de 2021,151017,278473,0,1389
24 de fevereiro de 2021,26807,22666,0,0
24 de janeiro de 2021,6377,0,0,0
24 de julho de 2021,195626,86456,0,5188
24 de junho de 2021,409988,9137,0,0
24 de maio de 2021,146567,84938,0,0
24 de março de 2021,90170,53953,0,0
24 de setembro de 2021,60135,366403,22174,335
25 de abril de 2021,12182,9383,0,0
25 de agosto de 2021,146215,324624,0,1053
25 de fevereiro de 2021,24699,20851,0,0
25 de janeiro de 2021,21305,3,0,0
25 de julho de 2021,24572,23785,0,1105
25 de junho de 2021,408129,9036,0,0
25 de maio de 2021,147397,72977,0,1
25 de março de 2021,125267,40344,0,0
25 de setembro de 2021,30683,165641,7089,389
26 de abril de 2021,114489,120684,0,0
26 de agosto de 2021,134063,264294,0,1115
26 de fevereiro de 2021,22643,32340,0,0
26 de janeiro de 2021,44150,4,0,0
26 de julho de 2021,282449,152897,0,6330
26 de junho de 2021,300986,6502,0,34
26 de maio de 2021,137092,60171,0,0
26 de março de 2021,211673,32071,0,0
26 de setembro de 2021,6592,27187,511,145
27 de abril de 2021,95319,110932,0,1
27 de agosto de 2021,124042,312421,0,2791
27 de fevereiro de 2021,49703,8552,0,0
27 de janeiro de 2021,38136,3,0,0
27 de julho de 2021,312794,194131,0,4941
27 de junho de 2021,35083,568,0,0
27 de maio de 2021,134145,52173,0,0
27 de março de 2021,103090,14026,0,0
27 de setembro de 2021,62495,347878,44466,313
28 de abril de 2021,104247,116412,0,0
28 de agosto de 2021,65810,168458,0,538
28 de fevereiro de 2021,13738,3341,0,0
28 de janeiro de 2021,70857,35,0,0
28 de julho de 2021,210516,197915,0,6517
28 de junho de 2021,287741,12864,0,101509
28 de maio de 2021,199155,44519,0,1
28 de março de 2021,16984,5731,0,0
28 de setembro de 2021,54334,338780,37478,869
29 de abril de 2021,154934,81707,0,0
29 de agosto de 2021,20282,19182,0,36
29 de janeiro de 2021,55661,7,0,0
29 de julho de 2021,222723,304611,0,6149
29 de junho de 2021,382298,11529,0,49599
29 de maio de 2021,113514,22393,0,0
29 de março de 2021,159856,45868,0,0
29 de setembro de 2021,50136,320402,34667,184
3 de abril de 2021,42087,15538,0,0
3 de agosto de 2021,311841,135574,0,3629
3 de fevereiro de 2021,70531,15,0,0
3 de julho de 2021,155724,12131,0,10646
3 de junho de 2021,113335,22779,0,0
3 de maio de 2021,80915,112220,0,0
3 de março de 2021,130630,59963,0,0
3 de outubro de 2021,7040,17960,674,280
3 de setembro de 2021,196835,405700,0,570
30 de abril de 2021,108769,78048,0,0
30 de agosto de 2021,274783,310485,0,865
30 de janeiro de 2021,21977,1,0,0
30 de julho de 2021,307131,180645,0,5080
30 de junho de 2021,390694,11089,0,37755
30 de maio de 2021,14364,2422,0,0
30 de março de 2021,112976,50725,0,0
30 de setembro de 2021,48850,316990,30467,226
31 de agosto de 2021,295131,334099,0,723
31 de janeiro de 2021,6006,0,0,0
31 de julho de 2021,170422,105767,0,2956
31 de maio de 2021,151859,39603,0,0
31 de março de 2021,84174,59133,0,0
4 de abril de 2021,5691,5491,0,0
4 de agosto de 2021,351267,212967,0,2199
4 de fevereiro de 2021,80140,23,0,0
4 de julho de 2021,17886,1301,0,615
4 de junho de 2021,131888,22359,0,0
4 de maio de 2021,126798,93724,0,0
4 de março de 2021,106397,59885,0,0
4 de outubro de 2021,40522,261327,103949,507
4 de setembro de 2021,78756,188556,574,125
5 de abril de 2021,116501,109726,0,0
5 de agosto de 2021,361205,174713,0,1466
5 de fevereiro de 2021,90629,38,0,0
5 de julho de 2021,323287,36627,0,13269
5 de junho de 2021,91440,26549,0,0
5 de maio de 2021,156282,80910,0,0
5 de março de 2021,79167,63209,0,0
5 de outubro de 2021,37561,238834,122780,616
5 de setembro de 2021,14460,24668,161,58
6 de abril de 2021,124178,99764,0,1
6 de agosto de 2021,347394,229571,0,2780
6 de fevereiro de 2021,43666,71,0,0
6 de julho de 2021,267224,43781,0,66425
6 de junho de 2021,10544,1002,0,0
6 de maio de 2021,260893,46654,0,0
6 de março de 2021,49041,24927,0,0
6 de outubro de 2021,39128,245169,125956,630
6 de setembro de 2021,195755,171665,12039,105
7 de abril de 2021,94509,77967,0,1
7 de agosto de 2021,163006,119747,0,2084
7 de fevereiro de 2021,14148,26,0,0
7 de julho de 2021,264378,49694,0,158169
7 de junho de 2021,169464,23392,0,0
7 de maio de 2021,252258,71612,0,0
7 de março de 2021,11954,4721,0,0
7 de outubro de 2021,32606,264982,107002,600
7 de setembro de 2021,38163,75170,979,32
8 de abril de 2021,58218,68747,0,0
8 de agosto de 2021,20014,67752,0,569
8 de fevereiro de 2021,101303,412,0,0
8 de julho de 2021,301004,45972,0,120696
8 de junho de 2021,168004,16503,0,0
8 de maio de 2021,127785,37974,0,0
8 de março de 2021,73847,49812,0,0
8 de outubro de 2021,30248,249096,104946,841
8 de setembro de 2021,197214,561761,7005,421
9 de abril de 2021,43083,167300,0,0
9 de agosto de 2021,263724,213040,0,2892
9 de fevereiro de 2021,110487,1015,0,0
9 de julho de 2021,245753,24971,0,87580
9 de junho de 2021,177093,14212,0,1
9 de maio de 2021,11472,2918,0,0
9 de março de 2021,69340,50712,0,0
9 de outubro de 2021,10628,108340,28013,630
9 de setembro de 2021,238426,530546,10071,598
