codigo_ibge,municipio,latitude,longitude,mesorregiao,microrregiao
3540309,Pontes Gestal,-20.1727,-49.7064,Ribeirão Preto,Votuporanga
3540408,Populina,-19.9453,-50.538,São José do Rio Preto,Jales
3540507,Porangaba,-23.1761,-48.1195,Itapetininga ,Tatuí
3540606,Porto Feliz,-23.2093,-47.5251,Macro Metropolitana Paulista,Sorocaba
3540705,Porto Ferreira,-21.8498,-47.487,Campinas,Pirassununga
3540754,Potim,-22.8343,-45.2552,Vale do Paraíba Paulista,Guaratinguetá
3540804,Potirendaba,-21.0428,-49.3815,São José do Rio Preto,São José do Rio Preto
3540853,Pracinha,-21.8496,-51.0868,Presidente Prudente,Adamantina
3540903,Pradópolis,-21.3626,-48.0679,Ribeirão Preto,Ribeirão Preto
3541000,Praia Grande,-24.0084,-46.4121,Metropolitana de São Paulo,Santos
3541059,Pratânia,-22.8112,-48.6636,Bauru,Botucatu
3541109,Presidente Alves,-22.0999,-49.4381,Bauru,Bauru
3541208,Presidente Bernardes,-22.0082,-51.5565,Presidente Prudente,Presidente Prudente
3541307,Presidente Epitácio,-21.7651,-52.1111,Presidente Prudente,Presidente Prudente
3541406,Presidente Prudente,-22.1207,-51.3925,Presidente Prudente,Presidente Prudente
3541505,Presidente Venceslau,-21.8732,-51.8447,Presidente Prudente,Presidente Prudente
3541604,Promissão,-21.5356,-49.8599,Bauru,Lins
3541653,Quadra,-23.2993,-48.0547,Itapetininga ,Tatuí
3541703,Quatá,-22.2456,-50.6966,Assis,Assis
3541802,Queiroz,-21.7969,-50.2415,Marília,Tupã
3541901,Queluz,-22.5312,-44.7781,Vale do Paraíba Paulista,Guaratinguetá
3542008,Quintana,-22.0692,-50.307,Marília,Tupã
3542107,Rafard,-23.0105,-47.5318,Piracicaba,Piracicaba
3542206,Rancharia,-22.2269,-50.893,Presidente Prudente,Presidente Prudente
3542305,Redenção da Serra,-23.2638,-45.5422,Vale do Paraíba Paulista,Paraibuna/Paraitinga
3542404,Regente Feijó,-22.2181,-51.3055,Presidente Prudente,Presidente Prudente
3542503,Reginópolis,-21.8914,-49.2268,Bauru,Bauru
3542602,Registro,-24.4979,-47.8449,Litoral Sul Paulista,Registro
3542701,Restinga,-20.6056,-47.4833,Ribeirão Preto,Franca
3542800,Ribeira,-24.6517,-49.0044,Itapetininga ,Capão Bonito
3542909,Ribeirão Bonito,-22.0685,-48.182,Araraquara ,São Carlos
3543006,Ribeirão Branco,-24.2206,-48.7635,Itapetininga ,Capão Bonito
3543105,Ribeirão Corrente,-20.4579,-47.5904,Ribeirão Preto,Franca
3543204,Ribeirão do Sul,-22.789,-49.933,Assis,Ourinhos
3543238,Ribeirão dos Índios,-21.8382,-51.6103,Presidente Prudente,Presidente Prudente
3543253,Ribeirão Grande,-24.1011,-48.3679,Itapetininga ,Capão Bonito
3543303,Ribeirão Pires,-23.7067,-46.4058,Metropolitana de São Paulo,São Paulo
3543402,Ribeirão Preto,-21.1699,-47.8099,Ribeirão Preto,Ribeirão Preto
3543600,Rifaina,-20.0803,-47.4291,Ribeirão Preto,Franca
3543709,Rincão,-21.5894,-48.0728,Araraquara ,Araraquara
3543808,Rinópolis,-21.7284,-50.7239,Presidente Prudente,Adamantina
3543907,Rio Claro,-22.3984,-47.5546,Piracicaba,Rio Claro
3544004,Rio das Pedras,-22.8417,-47.6047,Piracicaba,Piracicaba
3544103,Rio Grande da Serra,-23.7437,-46.3971,Metropolitana de São Paulo,São Paulo
3544202,Riolândia,-19.9868,-49.6836,São José do Rio Preto,Votuporanga
3543501,Riversul,-23.829,-49.429,Itapetininga ,Itapeva
3544251,Rosana,-22.5782,-53.0603,Presidente Prudente,Presidente Prudente
3544301,Roseira,-22.8938,-45.307,Vale do Paraíba Paulista,Guaratinguetá
3544400,Rubiácea,-21.3006,-50.7296,Araçatuba,Araçatuba
3544509,Rubinéia,-20.1759,-51.007,São José do Rio Preto,Jales
3544608,Sabino,-21.4593,-49.5755,Bauru,Lins
3544707,Sagres,-21.8823,-50.9594,Presidente Prudente,Adamantina
3544806,Sales,-21.3427,-49.4897,São José do Rio Preto,Novo Horizonte
3544905,Sales Oliveira,-20.7696,-47.8369,Ribeirão Preto,São Joaquim da Barra
3545001,Salesópolis,-23.5288,-45.8465,Metropolitana de São Paulo,Mogi das Cruzes
3545100,Salmourão,-21.6267,-50.8614,Presidente Prudente,Adamantina
3545159,Saltinho,-22.8442,-47.6754,Piracicaba,Piracicaba
