Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
SÃO JOÃO DAS DUAS PONTES;201;82,038266302;82,038266302;2561;2101
URUPÊS;202;82,006048387;82,006048387;13888;11389
BERTIOGA;203;82,001761352;82,001761352;64723;53074
DESCALVADO;204;81,990563256;81,990563256;33910;27803
CABREÚVA;205;81,987546848;81,987546848;50429;41345,5
IPIGUÁ;206;81,957633309;81,957633309;5476;4488
JUMIRIM;207;81,948507899;81,948507899;3418;2801
JUNQUEIRÓPOLIS;208;81,945177860;81,945177860;20831;17070
OUROESTE;209;81,943258374;81,943258374;10539;8636
TAQUARAL;210;81,940988269;81,940988269;2813;2305
SÃO JOSÉ DO BARREIRO;211;81,925675676;81,925675676;4144;3395
SANTO EXPEDITO;212;81,913875598;81,913875598;3135;2568
MIRANDÓPOLIS;213;81,872349020;81,872349020;29706;24321
SANTA CRUZ DA ESPERANÇA;214;81,839294008;81,839294008;2153;1762
GAVIÃO PEIXOTO;215;81,827622015;81,827622015;4815;3940
MARTINÓPOLIS;216;81,819888839;81,819888839;26628;21787
SANTO ANTÔNIO DO PINHAL;217;81,807528929;81,807528929;6827;5585
NOVA GUATAPORANGA;218;81,806451613;81,806451613;2325;1902
ITOBI;219;81,788079470;81,788079470;7852;6422
SANTO ANTÔNIO DE POSSE;220;81,775681074;81,775681074;23529;19241
ILHA SOLTEIRA;221;81,756756757;81,756756757;26788;21901
BURITAMA;222;81,737167988;81,737167988;17281;14125
PEDREGULHO;223;81,732199155;81,732199155;16811;13740
IRAPURU;224;81,717717718;81,717717718;8325;6803
SANTA RITA DO PASSA QUATRO;225;81,702898551;81,702898551;27600;22550
CANANÉIA;226;81,580416235;81,580416235;12541;10231
PRAIA GRANDE;227;81,567803654;81,567803654;330845;269863
MONTE CASTELO;228;81,565050408;81,565050408;4166;3398
URÂNIA;229;81,557017544;81,557017544;9120;7438
CAJATI;230;81,548747105;81,548747105;28494;23236,5
JAGUARIÚNA;231;81,499267736;81,499267736;58722;47858
BROTAS;232;81,449910700;81,449910700;24636;20066
TANABI;233;81,425999004;81,425999004;26101;21253
PRESIDENTE ALVES;234;81,421568627;81,421568627;4080;3322
RIBEIRÃO BRANCO;235;81,395348837;81,395348837;16211;13195
PILAR DO SUL;236;81,382218897;81,382218897;29402;23928
BURI;237;81,362384172;81,362384172;19965;16244
LARANJAL PAULISTA;238;81,344450234;81,344450234;28785;23415
PARIQUERA-AÇU;239;81,336510673;81,336510673;19723;16042
SUD MENNUCCI;240;81,327639752;81,327639752;7728;6285
POLONI;241;81,318501554;81,318501554;6113;4971
COLINA;242;81,284057189;81,284057189;18535;15066
MONTE AZUL PAULISTA;243;81,265816111;81,265816111;18968;15414,5
TATUÍ;244;81,255540104;81,255540104;122967;99917,5
TRABIJU;245;81,185270426;81,185270426;1738;1411
ÁGUAS DA PRATA;246;81,182337915;81,182337915;8221;6674
PORTO FELIZ;247;81,163626830;81,163626830;53402;43343
ARARAS;248;81,151019143;81,151019143;135506;109964,5
MONTE ALEGRE DO SUL;249;81,149056836;81,149056836;8111;6582
EMILIANÓPOLIS;250;81,127982646;81,127982646;3227;2618
DRACENA;251;81,121527113;81,121527113;47043;38162
SALTINHO;252;81,091385679;81,091385679;8393;6806
TEJUPÁ;253;81,028724115;81,028724115;4491;3639
MIRA ESTRELA;254;80,972311655;80,972311655;3106;2515
SERTÃOZINHO;255;80,937849019;80,937849019;127142;102906
VALENTIM GENTIL;256;80,845403488;80,845403488;13532;10940
DIRCE REIS;257;80,822679266;80,822679266;1799;1454
APIAÍ;258;80,809873689;80,809873689;24226;19577
GENERAL SALGADO;259;80,804640029;80,804640029;10862;8777
CONCHAL;260;80,797934425;80,797934425;28273;22844
REGENTE FEIJÓ;261;80,778660390;80,778660390;20394;16474
IEPÊ;262;80,693190139;80,693190139;8194;6612
SÃO JOÃO DE IRACEMA;263;80,641821946;80,641821946;1932;1558
MONTE ALTO;264;80,609391003;80,609391003;50772;40927
ITAÍ;265;80,527353736;80,527353736;27382;22050
PEREIRA BARRETO;266;80,523425634;80,523425634;25677;20676
JUNDIAÍ;267;80,518125038;80,518125038;423006;340596,5
BAURU;268;80,517905494;80,517905494;379297;305402
GUAPIAÇU;269;80,491389208;80,491389208;21775;17527
CAPÃO BONITO;270;80,478797912;80,478797912;47118;37920
SAGRES;271;80,452674897;80,452674897;2430;1955
PALMITAL;272;80,450790230;80,450790230;22272;17918
PENÁPOLIS;273;80,436657936;80,436657936;63757;51284
IBIRÁ;274;80,396229430;80,396229430;12518;10064
PIRACICABA;275;80,373454274;80,373454274;407252;327322,5
ELIAS FAUSTO;276;80,346788582;80,346788582;17936;14411
UCHOA;277;80,336912619;80,336912619;10151;8155
BEBEDOURO;278;80,330088324;80,330088324;77555;62300
NOVA ALIANÇA;279;80,319750990;80,319750990;7068;5677
FRANCO DA ROCHA;280;80,297714899;80,297714899;156492;125659,5
CARDOSO;281;80,281804195;80,281804195;12349;9914
BÁLSAMO;282;80,238538133;80,238538133;9139;7333
OSVALDO CRUZ;283;80,215151515;80,215151515;33000;26471
CESÁRIO LANGE;284;80,212244898;80,212244898;18375;14739
AMERICANA;285;80,170689783;80,170689783;242018;194027,5
CORUMBATAÍ;286;80,142716535;80,142716535;4064;3257
VARGEM GRANDE DO SUL;287;80,120621666;80,120621666;43110;34540
SERRA AZUL;288;80,088111608;80,088111608;14981;11998
SANTO ANDRÉ;289;80,078891772;80,078891772;721368;577663,5
CHAVANTES;290;80,061201482;80,061201482;12418;9942
ÁLVARES MACHADO;291;80,054404352;80,054404352;24998;20012
CATANDUVA;292;80,028490494;80,028490494;122497;98032,5
GUAÍRA;293;80,026803119;80,026803119;41040;32843
QUINTANA;294;80,023923445;80,023923445;6688;5352
NOVO HORIZONTE;295;80,014004926;80,014004926;41414;33137
LENÇÓIS PAULISTA;296;79,988404117;79,988404117;68990;55184
MACATUBA;297;79,963982805;79,963982805;17214;13765
PAULICÉIA;298;79,916823182;79,916823182;7454;5957
MOMBUCA;299;79,874572406;79,874572406;3508;2802
CANITAR;300;79,856386999;79,856386999;5292;4226
TURIÚBA;301;79,851485149;79,851485149;2020;1613
AREIAS;302;79,851129363;79,851129363;3896;3111
ESPÍRITO SANTO DO TURVO;303;79,827798278;79,827798278;4878;3894
JABOTICABAL;304;79,772575079;79,772575079;77652;61945
PIRANGI;305;79,766367361;79,766367361;11471;9150
ESPÍRITO SANTO DO PINHAL;306;79,759843494;79,759843494;44471;35470
UBATUBA;307;79,720443457;79,720443457;91824;73202,5
ITAPORANGA;308;79,713965597;79,713965597;15173;12095
BRODOWSKI;309;79,673220714;79,673220714;25277;20139
ASSIS;310;79,636872306;79,636872306;105087;83688
SARAPUÍ;311;79,624639076;79,624639076;10390;8273
ITATIBA;312;79,594716963;79,594716963;122581;97568
IBITINGA;313;79,594059406;79,594059406;60600;48234
GUARAÇAÍ;314;79,541616405;79,541616405;8290;6594
JUQUITIBA;315;79,532958352;79,532958352;31646;25169
ITAPEVA;316;79,444960128;79,444960128;94804;75317
QUADRA;317;79,398028023;79,398028023;3854;3060
SÃO MIGUEL ARCANJO;318;79,392158051;79,392158051;33002;26201
ROSEIRA;319;79,390797148;79,390797148;10801;8575
JARDINÓPOLIS;320;79,389593062;79,389593062;44970;35701,5
GUATAPARÁ;321;79,361784927;79,361784927;7709;6118
SABINO;322;79,319558247;79,319558247;5614;4453
JOSÉ BONIFÁCIO;323;79,310067976;79,310067976;37366;29635
MARINÓPOLIS;324;79,297245964;79,297245964;2106;1670
GARÇA;325;79,254205229;79,254205229;44409;35196
CACONDE;326;79,241411963;79,241411963;19009;15063
CAMPOS DO JORDÃO;327;79,233851732;79,233851732;52405;41522,5
BARRA DO TURVO;328;79,205974843;79,205974843;7632;6045
PIRAPORA DO BOM JESUS;329;79,184482219;79,184482219;19178;15186
PARAPUÃ;330;79,157913965;79,157913965;10949;8667
GUARATINGUETÁ;331;79,140443247;79,140443247;122505;96951
PIQUETE;332;79,138121547;79,138121547;13575;10743
ARAMINA;333;79,133510168;79,133510168;5655;4475
MONTEIRO LOBATO;334;79,024701874;79,024701874;4696;3711
TARUMÃ;335;79,002832115;79,002832115;15183;11995
MARÍLIA;336;78,981254416;78,981254416;240590;190021
TORRINHA;337;78,977724741;78,977724741;10056;7942
CARAPICUÍBA;338;78,960546452;78,960546452;403183;318355,5
