Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
TERRA ROXA;578;71,940235244;71,940235244;9437;6789
IBIÚNA;579;71,935983090;71,935983090;79479;57174
SÃO ROQUE;580;71,882467956;71,882467956;92060;66175
AREIÓPOLIS;581;71,796020792;71,796020792;11158;8011
ORINDIÚVA;582;71,768140117;71,768140117;7194;5163
JAMBEIRO;583;71,743337800;71,743337800;6717;4819
VÁRZEA PAULISTA;584;71,741108791;71,741108791;123071;88292,5
GUZOLÂNDIA;585;71,735443754;71,735443754;5307;3807
MAIRIPORÃ;586;71,716354219;71,716354219;101937;73105,5
JANDIRA;587;71,678432366;71,678432366;126356;90570
GUAREÍ;588;71,663048658;71,663048658;18887;13535
PRESIDENTE EPITÁCIO;589;71,632611683;71,632611683;44389;31797
PONTALINDA;590;71,630295250;71,630295250;4674;3348
SUZANÁPOLIS;591;71,499750872;71,499750872;4014;2870
LINDÓIA;592;71,490360850;71,490360850;8092;5785
GUARUJÁ;593;71,467079783;71,467079783;322750;230660
PALESTINA;594;71,363255353;71,363255353;13123;9365
PROMISSÃO;595;71,296659155;71,296659155;40828;29109
UBARANA;596;71,2109375;71,2109375;6400;4557,5
SANTA GERTRUDES;597;71,188050108;71,188050108;27381;19492
SANTA LÚCIA;598;71,120397560;71,120397560;8854;6297
BENTO DE ABREU;599;70,981697171;70,981697171;3005;2133
ALTAIR;600;70,807453416;70,807453416;4186;2964
SEVERÍNIA;601;70,777419172;70,777419172;17661;12500
PLANALTO;602;70,720211161;70,720211161;5304;3751
JACUPIRANGA;603;70,663536251;70,663536251;17889;12641
ITAQUAQUECETUBA;604;70,484865777;70,484865777;375011;264326
AVANHANDAVA;605;70,437982538;70,437982538;13859;9762
AMÉRICO BRASILIENSE;606;70,386527588;70,386527588;41032;28881
LUIZIÂNIA;607;70,367207515;70,367207515;5855;4120
ARIRANHA;608;70,228460199;70,228460199;9761;6855
IPERÓ;609;70,216520915;70,216520915;37964;26657
SANTA CRUZ DAS PALMEIRAS;610;70,206120275;70,206120275;34737;24387,5
PEDRO DE TOLEDO;611;70,195254356;70,195254356;11421;8017
BARBOSA;612;70,192822710;70,192822710;7468;5242
FLÓRIDA PAULISTA;613;70,114942529;70,114942529;14790;10370
ALUMÍNIO;614;70,096445889;70,096445889;18767;13155
VOTORANTIM;615;70,018365844;70,018365844;123599;86542
MORRO AGUDO;616;69,980173035;69,980173035;33288;23295
NOVA EUROPA;617;69,977983267;69,977983267;11355;7946
SANTÓPOLIS DO AGUAPEÍ;618;69,939796554;69,939796554;4817;3369
IBIRAREMA;619;69,914551715;69,914551715;7841;5482
SANDOVALINA;620;69,820854387;69,820854387;4354;3040
EUCLIDES DA CUNHA PAULISTA;621;69,662198391;69,662198391;9325;6496
PITANGUEIRAS;622;69,543413174;69,543413174;40080;27873
LAVRINHAS;623;69,402270551;69,402270551;7311;5074
MAUÁ;624;69,295071531;69,295071531;477552;330920
ITAPECERICA DA SERRA;625;69,269174050;69,269174050;177662;123065
SÃO JOSÉ DA BELA VISTA;626;69,107142857;69,107142857;8960;6192
PRADÓPOLIS;627;68,938874411;68,938874411;21873;15079
CUBATÃO;628;68,757312385;68,757312385;131626;90502,5
ITAPURA;629;68,672995354;68,672995354;4951;3400
LUÍS ANTÔNIO;630;68,571802250;68,571802250;15292;10486
IPEÚNA;631;68,570313516;68,570313516;7687;5271
CLEMENTINA;632;68,276807126;68,276807126;8757;5979
PIRAJUÍ;633;68,241377970;68,241377970;25719;17551
FERRAZ DE VASCONCELOS;634;67,647073791;67,647073791;196500;132926,5
PRACINHA;635;66,761633428;66,761633428;4212;2812
ITARIRI;636;66,229116945;66,229116945;17598;11655
PONTAL;637;65,374026587;65,374026587;50852;33244
ELDORADO;638;65,015440041;65,015440041;15544;10106
COSMÓPOLIS;639;64,205024907;64,205024907;73474;47174
NOVA LUZITÂNIA;640;62,235576923;62,235576923;4160;2589
NOVAIS;641;62,052144659;62,052144659;5945;3689
GASTÃO VIDIGAL;642;61,625514403;61,625514403;4860;2995
QUELUZ;643;60,105835661;60,105835661;13606;8178
PALMARES PAULISTA;644;57,878540709;57,878540709;13486;7805,5
RIO GRANDE DA SERRA;645;52,652811261;52,652811261;51436;27082,5
